Experiment,Classifier,AUC (Train),AUC (Test),Time taken,Hyperparameters,used_columns,preprocessing
1,DecisionTree,0.9999999994494709,0.6996169746337058,223.7307301760011,default,"app, device, os, channel, ip, click_timestamp, previous_sessions, total_sessions, current_session_duration_till_now, current_session_duration, avg_previous_sessions_duration","min_frequency=0.000008, unknown_value=-1, handle_unknown='use_encoded_value', dtype=np.int16"
1,RandomForest,0.9999999892487771,0.9349589833237387,710.2273963589978,n_estimators=100,"app, device, os, channel, ip, click_timestamp, previous_sessions, total_sessions, current_session_duration_till_now, current_session_duration, avg_previous_sessions_duration","min_frequency=0.000008, unknown_value=-1, handle_unknown='use_encoded_value', dtype=np.int16"
1,AdaBoost,0.9488684262442997,0.9270630727163193,458.96459006497753,n_estimators=50,"app, device, os, channel, ip, click_timestamp, previous_sessions, total_sessions, current_session_duration_till_now, current_session_duration, avg_previous_sessions_duration","min_frequency=0.000008, unknown_value=-1, handle_unknown='use_encoded_value', dtype=np.int16"
1,XGBoost,0.7608811919035203,0.6234198970938565,48.431491732015274,n_estimators=100,"app, device, os, channel, ip, click_timestamp, previous_sessions, total_sessions, current_session_duration_till_now, current_session_duration, avg_previous_sessions_duration","min_frequency=0.000008, unknown_value=-1, handle_unknown='use_encoded_value', dtype=np.int16"
2,RandomForest,0.9999999985930922,0.9399800509787243,1372.8703191719833,n_estimators=200,"app, device, os, channel, ip, click_timestamp, previous_sessions, total_sessions, current_session_duration_till_now, current_session_duration, avg_previous_sessions_duration","min_frequency=0.000008, unknown_value=-1, handle_unknown='use_encoded_value', dtype=np.int16"
2,AdaBoost,0.9565080270805633,0.9355253931480355,892.3324085449858,n_estimators=100,"app, device, os, channel, ip, click_timestamp, previous_sessions, total_sessions, current_session_duration_till_now, current_session_duration, avg_previous_sessions_duration","min_frequency=0.000008, unknown_value=-1, handle_unknown='use_encoded_value', dtype=np.int16"
2,XGBoost,0.7778857046051666,0.6436165084586147,68.84127705200808,n_estimators=200,"app, device, os, channel, ip, click_timestamp, previous_sessions, total_sessions, current_session_duration_till_now, current_session_duration, avg_previous_sessions_duration","min_frequency=0.000008, unknown_value=-1, handle_unknown='use_encoded_value', dtype=np.int16"
3,RandomForest,0.9999999993075567,0.9409636945899534,2014.3922920830082,n_estimators=300,"app, device, os, channel, ip, click_timestamp, previous_sessions, total_sessions, current_session_duration_till_now, current_session_duration, avg_previous_sessions_duration","min_frequency=0.000008, unknown_value=-1, handle_unknown='use_encoded_value', dtype=np.int16"
3,AdaBoost,0.9585582027216163,0.9390343086304953,1323.5134536120167,n_estimators=150,"app, device, os, channel, ip, click_timestamp, previous_sessions, total_sessions, current_session_duration_till_now, current_session_duration, avg_previous_sessions_duration","min_frequency=0.000008, unknown_value=-1, handle_unknown='use_encoded_value', dtype=np.int16"
3,XGBoost,0.7948593476585194,0.643752862629213,86.87030696801958,n_estimators=300,"app, device, os, channel, ip, click_timestamp, previous_sessions, total_sessions, current_session_duration_till_now, current_session_duration, avg_previous_sessions_duration","min_frequency=0.000008, unknown_value=-1, handle_unknown='use_encoded_value', dtype=np.int16"
4,RandomForest,0.9999999994103219,0.9401421187825566,2643.886932716996,n_estimators=400,"app, device, os, channel, ip, click_timestamp, previous_sessions, total_sessions, current_session_duration_till_now, current_session_duration, avg_previous_sessions_duration","min_frequency=0.000008, unknown_value=-1, handle_unknown='use_encoded_value', dtype=np.int16"
4,AdaBoost,0.9601530209828827,0.9419085093280223,1754.381344435009,n_estimators=200,"app, device, os, channel, ip, click_timestamp, previous_sessions, total_sessions, current_session_duration_till_now, current_session_duration, avg_previous_sessions_duration","min_frequency=0.000008, unknown_value=-1, handle_unknown='use_encoded_value', dtype=np.int16"
4,XGBoost,0.8065564728797541,0.649300027922546,101.1779289249971,n_estimators=400,"app, device, os, channel, ip, click_timestamp, previous_sessions, total_sessions, current_session_duration_till_now, current_session_duration, avg_previous_sessions_duration","min_frequency=0.000008, unknown_value=-1, handle_unknown='use_encoded_value', dtype=np.int16"
5,RandomForest,0.9999999994152157,0.9409342624981722,3293.1732050589926,n_estimators=500,"app, device, os, channel, ip, click_timestamp, previous_sessions, total_sessions, current_session_duration_till_now, current_session_duration, avg_previous_sessions_duration","min_frequency=0.000008, unknown_value=-1, handle_unknown='use_encoded_value', dtype=np.int16"
5,AdaBoost,0.9612093387987344,0.9437411647907689,2183.7952361149946,n_estimators=250,"app, device, os, channel, ip, click_timestamp, previous_sessions, total_sessions, current_session_duration_till_now, current_session_duration, avg_previous_sessions_duration","min_frequency=0.000008, unknown_value=-1, handle_unknown='use_encoded_value', dtype=np.int16"
5,XGBoost,0.8148056813699949,0.6542195440572713,115.42064757301705,n_estimators=500,"app, device, os, channel, ip, click_timestamp, previous_sessions, total_sessions, current_session_duration_till_now, current_session_duration, avg_previous_sessions_duration","min_frequency=0.000008, unknown_value=-1, handle_unknown='use_encoded_value', dtype=np.int16"
6,AdaBoost,0.9650768878802378,0.9485021046117654,4375.039142928988,n_estimators=500,"app, device, os, channel, ip, click_timestamp, previous_sessions, total_sessions, current_session_duration_till_now, current_session_duration, avg_previous_sessions_duration","min_frequency=0.000008, unknown_value=-1, handle_unknown='use_encoded_value', dtype=np.int16"
6,XGBoost,0.8535195136763571,0.6667997286983698,226.85871689300984,n_estimators=1000,"app, device, os, channel, ip, click_timestamp, previous_sessions, total_sessions, current_session_duration_till_now, current_session_duration, avg_previous_sessions_duration","min_frequency=0.000008, unknown_value=-1, handle_unknown='use_encoded_value', dtype=np.int16"
