hyperparameters,train_auc,test_auc
"{""max_depth"":10,""max_features"":""12"",""min_samples_leaf"":20,""n_estimators"":400}",0.9866495299,0.9350492307
"{""max_depth"":10,""max_features"":""12"",""min_samples_leaf"":20,""n_estimators"":300}",0.9865462532,0.9348862205
"{""max_depth"":6,""max_features"":""12"",""min_samples_leaf"":20,""n_estimators"":300}",0.9563406201,0.9342193245
"{""max_depth"":6,""max_features"":""12"",""min_samples_leaf"":20,""n_estimators"":400}",0.9564051388,0.9341718572
"{""max_depth"":10,""max_features"":""6"",""min_samples_leaf"":20,""n_estimators"":400}",0.9877198021,0.9336186322
"{""max_depth"":null,""max_features"":""6"",""min_samples_leaf"":20,""n_estimators"":300}",0.9984046602,0.9326116163
"{""max_depth"":10,""max_features"":""6"",""min_samples_leaf"":20,""n_estimators"":300}",0.9874044005,0.932343539
"{""max_depth"":null,""max_features"":""6"",""min_samples_leaf"":20,""n_estimators"":400}",0.9984053558,0.9322809419
"{""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":20,""n_estimators"":400}",0.9980067714,0.9316766602
"{""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":20,""n_estimators"":300}",0.9980083676,0.9300665306
"{""max_depth"":6,""max_features"":""6"",""min_samples_leaf"":20,""n_estimators"":400}",0.9544623963,0.9263080902
"{""max_depth"":6,""max_features"":""6"",""min_samples_leaf"":20,""n_estimators"":300}",0.955389423,0.9259500241
"{""max_depth"":null,""max_features"":""12"",""min_samples_leaf"":20,""n_estimators"":400}",0.9985119923,0.9243973567
"{""max_depth"":6,""max_features"":""sqrt"",""min_samples_leaf"":20,""n_estimators"":300}",0.9517110846,0.9238471199
"{""max_depth"":6,""max_features"":""sqrt"",""min_samples_leaf"":20,""n_estimators"":400}",0.9512185973,0.9232131797
"{""max_depth"":10,""max_features"":""sqrt"",""min_samples_leaf"":20,""n_estimators"":400}",0.9872821603,0.9225257272
"{""max_depth"":null,""max_features"":""12"",""min_samples_leaf"":20,""n_estimators"":300}",0.9985119379,0.9219328315
"{""max_depth"":10,""max_features"":""sqrt"",""min_samples_leaf"":20,""n_estimators"":300}",0.9868095806,0.9214878679
